GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
vernite,dev.vernite.vernite.user.session,MaxmindResponse.Country,15,0,0,0,5,0,3,0,3,0
vernite,dev.vernite.vernite.integration.git.common,GitProjectIntegration,8,0,0,0,2,0,1,0,1,0
vernite,dev.vernite.vernite.task.comment,CommentRepository,0,30,0,2,0,4,0,3,0,2
vernite,dev.vernite.vernite.task.comment,CommentController,0,126,0,0,0,23,0,5,0,5
vernite,dev.vernite.vernite.task.comment,Comment,0,37,0,2,0,13,0,5,0,4
vernite,dev.vernite.vernite.integration.git.github,GitHubWebhookService,220,537,20,45,54,119,19,39,5,12
vernite,dev.vernite.vernite.integration.git.github,GitHubController,172,8,10,0,39,2,17,2,12,2
vernite,dev.vernite.vernite.integration.git.github,GitHubService,786,857,34,46,129,176,74,56,50,40
vernite,dev.vernite.vernite.auditlog,AuditLog,51,40,9,3,15,8,9,2,3,2
vernite,dev.vernite.vernite.auditlog,JsonDiff,25,168,3,24,7,43,4,13,1,2
vernite,dev.vernite.vernite.integration.git.github.model,TaskIntegration,32,67,0,2,3,11,2,3,2,2
vernite,dev.vernite.vernite.integration.git.github.model,ProjectIntegrationRepository,30,0,2,0,4,0,3,0,2,0
vernite,dev.vernite.vernite.integration.git.github.model,ProjectIntegration,0,29,0,0,0,8,0,2,0,2
vernite,dev.vernite.vernite.integration.git.github.model,AuthorizationRepository,30,0,2,0,4,0,3,0,2,0
vernite,dev.vernite.vernite.integration.git.github.model,TaskIntegration.Type,0,15,0,0,0,2,0,1,0,1
vernite,dev.vernite.vernite.integration.git.github.model,Authorization,64,0,4,0,16,0,5,0,3,0
vernite,dev.vernite.vernite.integration.git.github.model,Installation,31,17,6,0,7,4,4,2,1,2
vernite,dev.vernite.vernite.ticket,TicketController,62,0,0,0,9,0,2,0,2,0
vernite,dev.vernite.vernite.integration.common,Integration,34,0,0,0,7,0,1,0,1,0
vernite,dev.vernite.vernite.integration.git.github.api.model,BranchName,6,0,0,0,1,0,1,0,1,0
vernite,dev.vernite.vernite.integration.git.github.api.model,GitHubIssue,0,19,0,0,0,1,0,1,0,1
vernite,dev.vernite.vernite.integration.git.github.api.model,GitHubPullRequest,0,37,0,0,0,6,0,2,0,2
vernite,dev.vernite.vernite.integration.git.github.api.model,GitHubComment,7,0,0,0,3,0,1,0,1,0
vernite,dev.vernite.vernite.integration.git.github.api.model,GitHubRelease,17,0,0,0,5,0,1,0,1,0
vernite,dev.vernite.vernite.status,Status,13,98,4,14,2,26,3,10,0,4
vernite,dev.vernite.vernite.status,StatusController,0,82,0,2,0,15,0,6,0,5
vernite,dev.vernite.vernite.status,StatusRepository,0,30,0,2,0,4,0,3,0,2
vernite,dev.vernite.vernite.meeting,MeetingRepository,0,77,0,2,0,10,0,7,0,6
vernite,dev.vernite.vernite.meeting,MeetingController,0,123,2,4,0,25,2,8,0,7
vernite,dev.vernite.vernite.meeting,Meeting,0,121,0,16,0,34,0,14,0,6
vernite,dev.vernite.vernite.meeting,MeetingEventProvider,0,45,0,0,0,7,0,4,0,4
vernite,dev.vernite.vernite.common.exception.handler,ConflictStateHandler,0,8,0,0,0,1,0,1,0,1
vernite,dev.vernite.vernite.common.exception.handler,ExternalApiExceptionHandler,6,0,0,0,1,0,1,0,1,0
vernite,dev.vernite.vernite.common.exception.handler,ValidationExceptionHandler,23,22,0,0,3,3,3,3,3,3
vernite,dev.vernite.vernite.common.exception.handler,EntityNotFoundHandler,0,8,0,0,0,1,0,1,0,1
vernite,dev.vernite.vernite.utils,ImageConverter.ReadPointer,68,0,6,0,15,0,5,0,2,0
vernite,dev.vernite.vernite.utils,SoftDeleteRepository,0,7,0,0,0,1,0,1,0,1
vernite,dev.vernite.vernite.utils,ErrorType,33,0,0,0,1,0,6,0,6,0
